Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Fwd Packet Length Max,Fwd Packet Length Min,Flow Bytes/s,Flow Packets/s,Label
17,73037,5,0,396.3027891576775,324.6309995189912,-2804798.054613117,14151.970109225551,DrDoS_UDP
17,80025,2,0,232.19165736759396,231.3168306060082,419314204.75227875,1999696.706879864,DrDoS_SNMP
17,-48489,1,0,448.78321064731534,453.86443966476037,892703990.7440225,1998518.6662290785,DrDoS_NetBIOS
6,53525,4,0,1468.9664305183912,1461.4013923449334,889404344.6981604,1996624.2778803217,DrDoS_DNS
17,23994,3,0,229.00366166153148,228.52337573330067,444490775.76913345,2001143.763594172,DrDoS_SNMP
17,18561,2,0,1471.3623850456154,1478.7029936700599,207611477.8018816,1004378.7165951938,DrDoS_SNMP
17,250709,219,0,437.9725303939514,328.65831300164757,-7660646.609981992,1084.1108351150178,DrDoS_DNS
6,74827,1,2,-2.367871248865918,0.8265761788907671,2928787.825400638,31991.267843591526,DrDoS_NTP
6,63698,5,22,-1.2199551736816292,4.918400463052059,6170412.402638582,15507.021163816487,TFTP
17,26188,3,0,390.9612431701207,389.23493396836193,790459388.3125926,2002886.808128857,UDP-lag
17,-25404,4,0,1471.4218980389378,1473.2195372683468,2931115707.236771,2000909.492997034,DrDoS_MSSQL
0,116756395,41,0,1.0370769788454035,-0.8504098641230606,-1816042.8196551532,-14917.82243048404,BENIGN
17,49501,3,0,453.8650500972798,444.228998696637,958395619.9799176,1999746.2594649347,DrDoS_NetBIOS
17,-119,1,0,441.7420472020474,440.08974772486204,903649991.2213145,1999017.3096544172,DrDoS_NetBIOS
6,117582014,23,7,0.6758521486798782,0.5908053583521796,-4241389.564635262,-958.0317377735773,Syn
0,104315205,34,0,-0.003866463391149072,-2.7093795406839103,-553962.0172261656,-6982.1671413902,BENIGN
6,-115486,2,0,-3.1414091342495003,-0.1612477500356858,116529.06210554647,10672.43974884876,TFTP
6,109990431,21,0,5.12004298974488,2.5123635925845313,2244221.243276277,1524.1822283484307,BENIGN
6,71777,4,0,-4.249400460621523,-0.40854297752552887,2865051.7025911226,27572.86749785135,TFTP
0,83286149,7,0,-0.5417847842623655,-2.0523842677519255,633734.5869079629,7874.426039416996,BENIGN
0,112806986,48,37,6.371136641012807,3.4673916276598447,-3340045.2346534813,-15764.97529706515,DrDoS_NetBIOS
6,6917907,8,9,452.9619896767405,11.849875293072202,3599323.0603303574,-2933.709919530769,DrDoS_NTP
17,-30190,2,0,1469.4487737948,1475.0630940838494,108331042.56664623,997496.7938523269,DrDoS_MSSQL
6,81318,5,7,51.44456682488651,49.52774236145769,3587189.128840347,-956.8651182895064,BENIGN
6,12601873,5,0,-2.3827896750883264,-2.7142127723735157,-5314266.44804675,5234.165598142754,TFTP
6,69625,3,0,-5.838313014410036,2.6289928063653076,-4187828.9584643347,2001371.6827687158,TFTP
6,31560,0,1,51.54304455255064,-0.003671944820749354,1772917.844857028,8060.0326004280305,BENIGN
6,151343,2,2,-6.442388743565987,5.45228820345675,-7082678.5533410115,26629.73880993261,BENIGN
17,132116,209,0,399.0078016874309,326.21997736652463,-1410491.7705194599,-113.16821754636112,DrDoS_UDP
17,-35431,3,0,385.42877750960497,391.51911606734734,-1051117.545244809,389086.514725653,DrDoS_UDP
17,14577,3,0,1385.649487787193,1415.2133488584304,1470549974.6069722,998177.2595767522,DrDoS_SSDP
6,5432089,8,24,559.603566918043,3.796486501771885,6629182.892200114,-10574.902365363312,DrDoS_NTP
17,-56485,1,0,1467.8579101606358,1469.9324939940807,2929868072.034416,1999623.9066503032,DrDoS_MSSQL
6,119367131,32,10,1131.5966953122245,-1.802655935921956,-6723330.365105915,9367.465077597706,Syn
6,3684658,3,0,-1.1204215943012579,-0.6972435832988575,1168689.45420529,4783.837771534276,DrDoS_NTP
6,-57491,1,0,-2.6112324116787575,0.035909027102865775,-7041718.263775823,1997880.0936165457,Syn
6,4058030,192,2,594.715239093325,-0.8206454188685199,-4943816.81773036,12492.457502723382,BENIGN
6,13672900,4,0,3.1460342806766946,0.047664978452796596,-2786860.1448987545,400176.24459920794,TFTP
17,-31882,1,0,1470.1148935514334,1471.4132793813442,907964003.2421554,999353.1356866576,DrDoS_LDAP
17,-138,4,0,390.6972405668197,391.43836191188336,774653373.6153973,2002669.5484809284,UDP-lag
6,136034,2,2,40.75940739115155,1.1467106070743636,2580634.4904815247,27429.68516988547,DrDoS_NTP
17,-35268,3,0,382.5998014678134,392.0062240979155,787586173.3063982,2002832.9956722618,UDP-lag
17,44800,163,0,432.86487566337644,351.4755321211627,797382.8831798581,11071.93996424908,DrDoS_DNS
17,45634,4,0,1465.5559894075654,1471.346401296472,2922546129.114716,1991718.9806381483,DrDoS_MSSQL
17,71212,3,0,1470.9702310268704,1476.342188955298,2910535836.4106336,1997193.6647051072,DrDoS_MSSQL
17,39415,2,0,1358.4295176175526,1342.6300014758167,1304451465.9951904,999457.913453719,DrDoS_SSDP
17,-5083,1,0,403.20608315459697,393.16220600606147,788448992.3021384,2001185.0878442135,DrDoS_UDP
17,58793,2,0,384.77096434754185,394.8521713057365,768522127.4159158,1998778.9409538428,DrDoS_UDP
17,-17656,1,0,1338.866028224806,1361.456463340803,2576003513.617147,1999247.3792735995,DrDoS_MSSQL
17,19418,2,0,1467.0615318394343,1476.9143221788402,2935190467.6416383,667299.2251806925,DrDoS_MSSQL
6,90684714,15,2,-1.178582090483691,3.115823266404938,1694623.124801897,12066.355511510132,BENIGN
0,74852598,33,0,-2.406736424180026,2.1664902912177517,6474494.961246578,15232.244735581702,DrDoS_LDAP
17,26881,1,0,650.8125856794692,457.83864003156395,950649882.8094522,1997936.7499706305,DrDoS_NetBIOS
17,142582,4,0,395.3293959042129,396.3428229311568,767694606.4592776,1999808.5117548476,UDP-lag
0,-155780,6,0,-2.155377894538333,-0.27699128816329455,4042430.3916383795,14615.902336114621,BENIGN
6,119501840,4,2,-0.8495880964877923,-2.7930946192897004,-6120813.406511581,999282.5806954028,Syn
17,-5047,1,0,439.5633371989431,681.0148139333605,2602779072.5251784,996344.4951986807,DrDoS_DNS
17,157005,4,0,394.5179895594648,335.6887047173453,461844.56103056064,8202.096388648479,DrDoS_UDP
0,117854315,45,3,-2.146974790363995,3.6915946621185403,-4101907.801627597,-11963.921105575875,DrDoS_NTP
6,37960,1,4,7.560634367307237,3.0846566904121624,-4382498.508403526,26587.873341417577,BENIGN
17,-4916,3,0,1383.1097012600883,1375.1844800984138,1168174651.7771225,998102.5407984693,DrDoS_SSDP
17,172576,208,0,442.11888581420055,436.7381951095921,1477774.6139078534,12390.114075879988,DrDoS_UDP
0,103043042,34,0,1.3754340957138458,3.708599280544026,-382333.50254243077,10820.498308025122,BENIGN
17,82625,2,0,378.6896028837303,230.51677956352972,987906343.8128524,1000098.680228331,DrDoS_UDP
17,4361,1,0,392.7491370531308,406.9215522490571,801231219.4622489,18489.828662881722,DrDoS_UDP
17,61301,2,0,1470.886406174852,1474.3905461804466,1469191606.6984105,997324.4702360412,DrDoS_MSSQL
17,41958,3,0,1474.3462367641846,1476.18571546586,1461363597.9590073,1005193.4142632021,DrDoS_LDAP
17,-1591,3,0,390.1766528064083,339.0213565324569,35683.78586644982,12216.769725208465,BENIGN
17,96393,206,0,437.3806135398001,428.55276668962233,9742164.899154525,8990.297864698885,DrDoS_DNS
0,71901700,4,0,-2.9384247790725864,-1.1547894243639663,-1477457.6941376019,21296.82429555974,BENIGN
6,84441,2,2,3.4141422687932783,1.4842597635067283,-3823793.029417117,22134.659222162627,TFTP
0,109327112,36,0,-0.7484790411775948,-0.3872534252104667,-2666339.251994538,-2507.5830943384026,Syn
